post_id	timestamp	text	LIKE	HAHA	SAD	LOVE	ANGRY	WOW	PRIDE
5281959998_10151208318329999	2017-06-20T17:25:00+0000	From%20The%20New%20York%20Times%20Opinion%20Section%3A%20ISIS%20in%20its%20current%20form%20is%20doomed.%20Osama%20bin%20Laden%27s%20ideology%2C%20however%2C%20is%20destined%20to%20survive%20well%20into%20the%20future.	111	2	4	5	4	6	0	
5281959998_10151207747834999	2017-06-20T12:25:00+0000	The%20Border%20Patrol%20is%20creating%20what%20some%20call%20a%20%u201Cvirtual%20wall%22%20using%20surveillance%20equipment%20adapted%20from%20military%20use.	158	0	1	3	0	9	0	
5281959998_10151207749289999	2017-06-20T09:55:00+0000	The%20Brexit%20negotiations%20come%20at%20a%20time%20when%20the%20government%20of%20Prime%20Minister%20Theresa%20May%20is%20hanging%20by%20a%20thread.	124	16	3	3	0	6	1	
5281959998_10151207834289999	2017-06-20T10:58:00+0000	The%20battle%20to%20reclaim%20Mosul%20from%20ISIS%20has%20entered%20its%20final%20stage.%20%22God%20willing%2C%20Iraq%20will%20be%20their%20graveyard%2C%22%20said%20Major%20Sajjad%20al-Hour.	71	0	9	0	0	3	0	
5281959998_10151207325464999	2017-06-20T00:40:00+0000	What%20to%20ask%20yourself%20when%20choosing%20a%20financial%20adviser.	104	2	0	0	0	1	0	
5281959998_10151208080164999	2017-06-20T13:04:00+0000	%22My%20husband%20and%20I%20called%20him%20the%20%27mad%20man%2C%27%22%20said%20a%20neighbor.	125	1	46	2	27	2	0	
5281959998_10151207589214999	2017-06-20T08:25:00+0000	From%20The%20New%20York%20Times%20Opinion%20Section%3A%20For%20the%20Bolshevik%20leader%2C%20the%20ends%20justified%20his%20means.%20But%20if%20you%20asked%20any%20Russian%20in%201917%2C%20the%20answer%20was%20yes.	179	16	1	5	2	24	2	
5281959998_10151207149909999	2017-06-20T03:55:00+0000	%22There%u2019s%20a%20feeling%20of%20more%20security.%20It%27s%20much%20different%20to%20use%20the%20word%20%27husband%27%20rather%20than%20%27friend%27%20or%20%27partner.%27%20It%20makes%20one%20feel%20that%20one%20is%20fully%20accepted%20by%20society%2C%20even%20if%20not%20by%20individuals.%22	235	1	0	26	1	1	91	
5281959998_10151206988449999	2017-06-19T22:25:01+0000	How%20high%20can%20I%20throw%20you%20before%20everything%20falls%20apart%3F	222	1	0	26	0	7	1	
5281959998_10151207745109999	2017-06-20T13:25:00+0000	When%20far-right%20violence%20is%20described%20as%20a%20hate%20crime%20or%20the%20act%20of%20a%20disturbed%20loner%2C%20even%20if%20that%20is%20true%2C%20it%20can%20exacerbate%20a%20sense%20among%20targeted%20communities%20that%20they%20matter%20less.	244	2	48	2	35	3	1	
5281959998_10151207209209999	2017-06-20T04:55:00+0000	Pride%20organizers%20are%20grappling%20with%20whether%20to%20march%20in%20protest%2C%20dance%20their%20worries%20away%2C%20or%20do%20a%20little%20of%20both.	233	1	1	7	5	4	101	
5281959998_10151208305644999	2017-06-20T16:55:00+0000	This%20rock%20group%20may%20have%20inadvertently%20helped%20the%20Washington%20Redskins.	119	7	3	10	10	3	2	
5281959998_10151208369729999	2017-06-20T18:10:00+0000	%22God%20willing%2C%20Iraq%20will%20be%20their%20graveyard.%22%20An%20Iraqi%20commander%20showed%20our%20journalist%20the%20fight%20against%20ISIS%20in%20Mosul.%20Watch%20the%20video.	75	0	6	9	0	0	0	
5281959998_10151208090819999	2017-06-20T13:40:00+0000	Investigators%20are%20expected%20to%20want%20to%20interview%20the%20Crystal%u2019s%20crew%20to%20ask%20why%20there%20was%20nearly%20an%20hour%u2019s%20delay%20in%20reporting%20the%20crash.	170	1	64	9	4	4	0	
5281959998_10151203594564999	2017-06-19T05:25:00+0000	It%u2019s%20not%20easy%20selling%20a%20Wild%20West%20Town%20theme%20park.	100	0	6	1	0	6	0	
5281959998_1877197322497781	2017-06-20T14:25:00+0000	Step%20into%20%22Alcyone%2C%22%20an%2018th-century%20French%20opera%20that%20had%20not%20been%20performed%20in%20Paris%20for%20246%20years.%20Watch%20more%20%23Daily360%3A%20http%3A//nyti.ms/2ru0Jzt	218	1	0	26	0	12	0	
5281959998_10151206362989999	2017-06-19T01:55:00+0000	%22Angels%20in%20America%22%20takes%20a%20beloved%20play%20and%20strips%20it%20to%20the%20bone.	123	0	0	11	1	1	11	
5281959998_1876784699205710	2017-06-19T20:10:00+0000	Visit%205%20sites%20that%20helped%20shape%20NYC%27s%20LGBTQ%20community%2C%20in%20360%B0.%20%23Daily360	101	4	0	11	3	2	27	
5281959998_10151207994224999	2017-06-20T15:25:00+0000	From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22When%20things%20go%20wrong%20with%20big%20philanthropy%2C%20citizens%20have%20little%20recourse.%20The%20givers%20are%20accountable%20to%20no%20one.%22	359	3	2	16	6	17	0	
5281959998_10151207817169999	2017-06-20T10:11:07+0000	%22Workers%20still%20need%20protection%2C%20but%20in%20a%20globalized%20world%2C%20the%20economy%20must%20be%20able%20to%20adjust%2C%20too%2C%22%20said%20the%20head%20of%20the%20powerful%20CFDT%20union.%20%22If%20unions%20just%20oppose%20everything%2C%20we%u2019ll%20never%20move%20forward.%22	135	1	0	4	3	4	1	
5281959998_10151202935169999	2017-06-19T07:25:00+0000	%u201CYou%20will%20receive%20a%20bigger%20bang%20for%20your%20buck%20from%20acclimating%20to%20the%20heat%20rather%20than%20by%20temporarily%20cooling%20yourself%20down.%u201D	149	0	0	0	0	10	0	
5281959998_10151206932804999	2017-06-20T01:25:00+0000	Little%20cubes%2C%20big%20flavor.	357	1	0	15	0	5	1	
5281959998_10151207252084999	2017-06-19T22:55:00+0000	%u201CIt%20is%20like%20you%20have%20got%20a%20high-rise%20building%20and%20you%20are%20encasing%20it%20in%20kerosene.%20It%20is%20insanity%2C%20pure%20and%20simple.%u201D	213	1	90	3	121	21	0	
5281959998_10151208311229999	2017-06-20T18:25:00+0000	%22We%20have%20these%20people%20sending%20us%20their%20children%20to%20get%20healthy%2C%20and%20they%20are%20leaving%20in%20ambulances%20and%20body%20bags.%22%20%u2014%20Dave%20Aronberg%2C%20the%20state%20attorney%20for%20Palm%20Beach%20County%2C%20Florida	60	0	46	5	65	12	0	
5281959998_10151201620709999	2017-06-19T03:25:00+0000	Charles%20Jeffrey%20held%20his%20first%2C%20jaw-dropping%20stand-alone%20show.	114	7	0	3	0	3	0	
5281959998_10151206768979999	2017-06-19T08:55:00+0000	The%20gunmen%20managed%20to%20escape%20in%20a%20shootout%20with%20soldiers%2C%20an%20official%20said.	84	0	32	1	11	2	0	
5281959998_10151206356089999	2017-06-19T05:55:00+0000	The%20battle%20for%20Mosul%20%u2014%20the%20largest%20city%20that%20the%20Islamic%20State%20has%20controlled%20in%20a%20vast%20territory%20straddling%20the%20border%20between%20Iraq%20and%20Syria%20%u2014%20is%20already%20in%20its%209th%20month.	140	1	21	3	1	8	0	
5281959998_10151202922424999	2017-06-19T02:25:00+0000	%22The%20most%20I%20can%20read%20is%20for%2030%20minutes%2C%20and%20that%u2019s%20typically%20a%20train%20or%20bus%20ride.%22%0A%0AThe%20New%20York%20Times%20Books%20had%20some%20suggestions.%20What%20are%20yours%3F	214	0	0	4	0	1	0	
5281959998_10151203607864999	2017-06-19T04:55:00+0000	At%20his%20few%20public%20appearances%2C%20young%20fans%20have%20brought%20printouts%20of%20his%20tweets%20for%20him%20to%20sign.	188	0	0	23	0	2	0	
5281959998_10151207831119999	2017-06-20T11:55:00+0000	It%20is%20quite%20possibly%20the%20most%20consequential%20special%20election%20since%20the%2070s.	723	4	3	27	2	63	4	
5281959998_10151207586309999	2017-06-20T04:25:00+0000	After%20the%20killing%20of%20a%20liberal%20blogger%20in%20April%2C%20many%20fear%20that%20the%20Maldives%2C%20a%20Muslim%20island%20nation%2C%20is%20ill%20equipped%20to%20guard%20against%20extremism.	246	1	85	3	16	48	0	
5281959998_10151208010079999	2017-06-20T12:15:00+0000	Late-night%20hosts%20took%20a%20break%20from%20their%20political%20quipping%20to%20celebrate%20the%20arrival%20of%20Beyonc%E9%27s%20twins.	325	51	2	5	0	1	0	
5281959998_10151207131124999	2017-06-20T00:25:00+0000	One%20might%20have%20expected%20Kevin%20Durant%20to%20be%20basking%20on%20an%20island%20somewhere.%20But%20on%20Sunday%20night%2C%20he%20waded%20into%20the%20swamp%20of%20Twitter.	184	22	0	9	0	1	2	
5281959998_1877200515830795	2017-06-20T10:25:00+0000	Follow%20Major%20Sajjad%20al-Hour%20as%20he%20commands%20150%20Iraqi%20Special%20Forces%20soldiers%20through%20the%20war-torn%20streets%20of%20Mosul%20in%20an%20attempt%20to%20eradicate%20ISIS.%20%0A%0AWatch%20the%20full%20documentary%20here%3A%20http%3A//nyti.ms/2tngJ4b	245	1	24	2	2	11	0	
