post_id,timestamp,text,LIKE,HAHA,SAD,LOVE,ANGRY,WOW,PRIDE
5281959998_10151222250839999,2017-07-05T18:55:00+0000,So%20much%20for%20a%20lazy%20July%20in%20Washington.,78,35,3,5,3,2,0
5281959998_10151222601349999,2017-07-05T21:25:01+0000,Soon%2C%20for%20the%20first%20time%20in%2026%20years%2C%20it%20will%20be%20possible%20to%20reach%20destinations%20along%20the%20Hudson%20River%20Valley%20from%20under%20the%20constellation-flecked%20ceiling%20of%20NYC%27s%20Grand%20Central%20Terminal.,72,0,0,6,0,1,0
5281959998_10151222463404999,2017-07-05T20:55:00+0000,At%20the%20cellular%20level%2C%20%u201Cit%20does%20look%20as%20if%20no%20pain%20means%20no%20gain.%22,156,1,1,5,0,11,0
5281959998_10151222107694999,2017-07-05T15:10:00+0000,Irvine%20Welsh%2C%20the%20author%20of%20%22Trainspotting%2C%22%20delivers%20provocative%20commentary%20on%20Twitter%20during%20Andy%20Murray%20matches.,93,1,0,1,0,4,0
5281959998_10151222427639999,2017-07-05T18:10:00+0000,Some%20criticized%20the%20story%20as%20a%20form%20of%20blackmail.%20Others%20criticized%20CNN%20for%20granting%20conditional%20anonymity%20to%20the%20user.,210,62,4,11,12,14,0
5281959998_1885176841699829,2017-07-05T19:44:00+0000,The%20fish%20auction%20is%20bustling%20in%20the%20early%20hours%20of%20the%20morning%20in%20Busan%2C%20South%20Korea.%20Watch%20more%20%23Daily360%3A%20http%3A//nyti.ms/2ru0Jzt,214,0,0,7,0,8,0
5281959998_10151215017324999,2017-07-05T00:25:00+0000,Things%20have%20gone%20from%20fros%E9%20to%20more%20sophisticated%20drinks.,204,0,0,23,0,0,0
5281959998_10151218122339999,2017-07-04T12:25:00+0000,%22Once%20the%20grill%20is%20lit%2C%20it%20can%20be%20all%20too%20easy%20to%20get%20lost%20in%20things%20to%20do%20and%20remember.%20So%20take%20a%20couple%20of%20deep%20breaths%2C%20look%20around%20you%20and%20take%20it%20all%20in.%22,94,0,0,4,0,0,0
5281959998_10151222277279999,2017-07-05T18:25:00+0000,%u201CSelf-restraint%2C%20which%20is%20a%20choice%2C%20is%20all%20that%20separates%20armistice%20and%20war%2C%u201D%20the%20top%20American%20general%20in%20South%20Korea%20said.,251,5,44,6,10,65,0
5281959998_10151214924274999,2017-07-05T06:25:00+0000,%22I%20think%20that%20people%20now%20are%20more%20marooned%20in%20their%20class%20than%20ever%2C%22%20Grayson%20Perry%20said.,85,0,1,6,0,0,0
5281959998_10151213989479999,2017-07-04T05:25:00+0000,Feel%20a%20little%20awkward%3F%20Two%20new%20books%20could%20help.,252,11,0,7,0,1,0
5281959998_10151217315029999,2017-07-04T07:25:00+0000,%u201CThe%20world%20that%20circumscribed%20the%20people%20I%20come%20from%2C%u201D%20he%20writes%2C%20%u201Chad%20so%20little%20margin%20for%20error%2C%20for%20bad%20luck%2C%20that%20when%20something%20went%20wrong%2C%20it%20almost%20always%20brought%20something%20else%20down%20with%20it.%u201D,111,0,1,4,0,0,0
5281959998_10151218100394999,2017-07-04T09:25:00+0000,Help%20wanted%3A%20Bring%20the%20best%20of%20world%20culture%20to%20Lincoln%20Center%20each%20summer.,105,0,0,3,0,3,0
5281959998_10151222304444999,2017-07-05T16:55:00+0000,From%20Nicholas%20Kristof%20in%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22The%20U.S.%20aim%20of%20denuclearizing%20the%20Korean%20peninsula%20simply%20doesn%u2019t%20seem%20very%20credible%20any%20more.%22,208,4,17,9,3,7,0
5281959998_10151221611659999,2017-07-04T19:10:00+0000,Edward%20Albee%2C%20best%20known%20for%20%22Who%27s%20Afraid%20of%20Virginia%20Woolf%3F%2C%22%20wanted%20two%20of%20his%20friends%20to%20destroy%20any%20incomplete%20manuscripts%20he%20left%20behind.,216,0,20,10,0,20,0
5281959998_10151220665399999,2017-07-04T04:55:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22It%u2019s%20not%20about%20breaking%20the%20law%2C%20it%u2019s%20about%20the%20enforcement%20of%20the%20law.%22,239,5,70,4,59,6,0
5281959998_10151221031979999,2017-07-04T05:55:00+0000,This%20Paul%20Gauguin%20painting%20is%20no%20longer%20the%20most%20expensive%20piece%20of%20artwork%20in%20the%20world.,151,1,0,7,0,14,0
5281959998_10151215816039999,2017-07-05T04:25:00+0000,The%20summer%20Jonas%20Mekas%20spent%20in%20Montauk%20with%20Andy%20Warhol%20was%20%u201Cone%20of%20happiness%20and%20continuous%20celebrations%20of%20life%20and%20friendships.%u201D,287,1,0,25,0,8,0
5281959998_10151221643449999,2017-07-04T19:50:36+0000,Jean-Claude%20Juncker%20said%20he%20was%20miffed%20that%20only%20about%2030%20of%20the%20751%20members%20of%20the%20legislative%20body%20were%20present%20for%20a%20meeting.,322,43,5,11,3,35,0
5281959998_10151222041449999,2017-07-05T13:25:01+0000,Nearly%20half%20of%20the%20South%20Korea%27s%20population%20lives%20within%2050%20miles%20of%20the%20border%2C%20well%20within%20the%20range%20of%20some%20of%20the%20North%u2019s%20artillery.,181,2,56,3,17,32,0
